dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.325231,2.206454,0.000793,0.079268,3.963415,198.170732,0.012714
0.020000,2.325231,2.206454,0.003963,0.237805,7.926829,198.170732,0.012916
0.020000,2.325231,2.206454,0.010305,0.396341,7.926829,0.000000,0.013320
0.020000,2.328810,2.206504,0.019817,0.554878,7.926829,0.000000,0.013926
0.020000,2.341492,2.206685,0.032500,0.713415,7.926829,-0.000000,0.014732
0.020000,2.357343,2.206927,0.048354,0.871951,7.926829,0.000000,0.015739
0.020000,2.376365,2.207238,0.067378,1.030488,7.926829,-0.000000,0.016946
0.020000,2.398557,2.207630,0.089573,1.189024,7.926829,0.000000,0.018351
0.020000,2.423918,2.208115,0.114939,1.347561,7.926829,0.000000,0.019953
0.020000,2.452449,2.208710,0.143476,1.506098,7.926829,0.000000,0.021751
0.020000,2.484148,2.209431,0.175183,1.664634,7.926829,-0.000000,0.023742
0.020000,2.519015,2.210298,0.210061,1.823171,7.926829,0.000000,0.025926
0.020000,2.557050,2.211329,0.248110,1.981707,7.926829,-0.000000,0.028300
0.020000,2.598251,2.212548,0.289329,2.140244,7.926829,0.000000,0.030861
0.020000,2.642619,2.213979,0.333720,2.298780,7.926829,0.000000,0.033608
0.020000,2.690150,2.215647,0.381280,2.457317,7.926829,0.000000,0.036537
0.020000,2.740845,2.217579,0.432012,2.615854,7.926829,0.000000,0.039645
0.020000,2.794701,2.219804,0.485915,2.774390,7.926829,-0.000000,0.042930
0.020000,2.851718,2.222352,0.542988,2.932927,7.926829,0.000000,0.046387
0.020000,2.911892,2.225255,0.603232,3.091463,7.926829,-0.000000,0.050013
0.020000,2.975221,2.228545,0.666646,3.250000,7.926829,0.000000,0.053803
0.020000,3.041703,2.232257,0.733232,3.408537,7.926829,0.000000,0.057754
0.020000,3.111334,2.236427,0.802988,3.567073,7.926829,0.000000,0.061861
0.020000,3.184111,2.241090,0.875915,3.725610,7.926829,-0.000000,0.066118
0.020000,3.260031,2.246286,0.952012,3.884146,7.926829,0.000000,0.070521
0.020000,3.339090,2.252051,1.031280,4.042683,7.926829,0.000000,0.075064
0.020000,3.421282,2.258426,1.113720,4.201220,7.926829,-0.000000,0.079741
0.020000,3.506603,2.265451,1.199329,4.359756,7.926829,0.000000,0.084546
0.020000,3.595047,2.273166,1.288110,4.518293,7.926829,-0.000000,0.089472
0.020000,3.686609,2.281613,1.380061,4.676829,7.926829,0.000000,0.094512
0.020000,3.781283,2.290834,1.475183,4.835366,7.926829,-0.000000,0.099659
0.020000,3.879062,2.300871,1.573476,4.993902,7.926829,0.000000,0.104907
0.020000,3.979939,2.311766,1.674939,5.152439,7.926829,-0.000000,0.110246
0.020000,4.083906,2.323560,1.779573,5.310976,7.926829,0.000000,0.115668
0.020000,4.190955,2.336297,1.887378,5.469512,7.926829,0.000000,0.121166
0.020000,4.301079,2.350018,1.998354,5.628049,7.926829,-0.000000,0.126729
0.020000,4.414269,2.364764,2.112500,5.786585,7.926829,0.000000,0.132350
0.020000,4.530516,2.380577,2.229817,5.945122,7.926829,-0.000000,0.138018
0.020000,4.649809,2.397495,2.350305,6.103659,7.926829,0.000000,0.143724
0.020000,4.772141,2.415558,2.473963,6.262195,7.926829,0.000000,0.149457
0.020000,4.897502,2.434805,2.600793,6.420732,7.926829,0.000000,0.155207
0.020000,5.025098,2.455145,2.730000,6.500000,3.963415,-198.170732,0.160929
0.020000,5.153358,2.476338,2.860000,6.500000,0.000000,-198.170732,0.166546
0.020000,5.281500,2.498241,2.990000,6.500000,0.000000,0.000000,0.172023
0.020000,5.409521,2.520837,3.120000,6.500000,0.000000,0.000000,0.177358
0.020000,5.537421,2.544107,3.250000,6.500000,0.000000,0.000000,0.182552
0.020000,5.665200,2.568031,3.380000,6.500000,0.000000,0.000000,0.187604
